"Points:0","Points:1","Points:2"
-0.006796,0.044067,0.11922
-0.01302,0.033166,0.11738
-4.63e-07,0.044321,0.11954
0.00024417,0.037245,0.11922
0.0099047,0.035213,0.11832
-0.039423,0.04458,0.10583
-0.044138,0.039852,0.10201
-0.053428,0.038842,0.093681
-0.049201,0.044321,0.097887
-0.045455,0.024715,0.097887
-0.041002,0.026648,0.102
-0.048251,0.034327,0.097887
-0.03203,0.030623,0.1092
-0.033031,0.021492,0.10575
-0.027331,0.021664,0.10907
-0.024581,-0.003612,0.095526
-0.029545,0.0071487,0.10066
-0.016441,0.010063,0.10783
-0.010066,-0.0083103,0.0959
0.00014617,-0.0042512,0.10016
0.0093114,-0.0035245,0.09995
0.024358,-0.0068218,0.092918
0.038075,0.016429,0.1003
0.047694,0.010134,0.0894
0.036423,0.028564,0.10583
0.032595,0.02145,0.10587
0.042489,0.030884,0.10199
0.045455,0.024715,0.097887
0.051374,0.028093,0.093681
0.039102,0.022533,0.10201
0.04896,0.0393,0.097887
0.044184,0.039736,0.10199
0.038858,0.036143,0.10575
-0.068766,0.022599,0.068545
-0.065624,0.030729,0.077257
-0.045254,-0.011566,0.072095
-0.044633,-0.016998,0.064537
-0.017579,-0.027905,0.069257
-0.0037698,-0.030704,0.068627
0.009003,-0.026317,0.074903
0.0099852,-0.033123,0.061873
0.024136,-0.022168,0.0755
0.035913,-0.01963,0.070231
0.053817,-0.011719,0.059046
0.055781,7.5553e-05,0.072372
0.066489,0.023318,0.072981
0.068143,0.030207,0.072981
0.072638,0.029276,0.063913
0.070874,0.021933,0.063913
0.074068,0.044321,0.063913
0.069485,0.044321,0.072981
0.066588,0.037492,0.077257
0.073707,0.036763,0.063913
-0.08477,0.044321,0.024861
-0.084357,0.03567,0.024861
-0.085098,0.035594,0.018623
-0.083863,0.026951,0.018623
-0.080229,0.014664,0.023241
-0.083133,0.027102,0.024861
-0.062414,-0.016761,0.01855
-0.047962,-0.030396,0.010005
-0.040057,-0.033213,0.027223
-0.029159,-0.036622,0.035622
-0.029095,-0.039151,0.021912
-0.016654,-0.041896,0.027937
0.0085021,-0.042927,0.029685
0.016126,-0.043919,0.010443
0.021684,-0.041105,0.026258
0.03896,-0.031581,0.037058
0.032151,-0.037111,0.027232
0.04463,-0.030787,0.025657
0.065213,-0.011715,0.027225
0.073379,1.7928e-05,0.025656
0.085097,0.035594,0.018623
0.082253,0.035886,0.037058
0.08477,0.044321,0.024861
0.08106,0.027532,0.037058
0.084356,0.03567,0.024861
0.084038,0.026932,0.018727
-0.086048,0.044321,-0.012374
-0.085515,0.044321,-0.018623
-0.085098,0.035594,-0.018623
-0.085628,0.03554,-0.012374
-0.084357,0.03567,-0.024861
-0.083817,0.044321,-0.031026
-0.08477,0.044321,-0.024861
-0.084333,0.026465,-0.015775
-0.068171,-0.0091452,-0.021786
-0.078882,0.013719,-0.030299
-0.074698,0.0034406,-0.028283
-0.057054,-0.021676,-0.021921
-0.047436,-0.028599,-0.026815
-0.038961,-0.031581,-0.037058
